name,address,description,inquiries,imageName,sigungu
낙동강,서울특별시 중구 을지로1길 34,"낙동강은 1968년 개업한 이래 50년이 넘는 동안 시청역 인근 직장인들의 회식 장소로 꾸준히 사랑받는 등심구이(소금구이) 전문 식당이다. 냉동 등심을 얇게 썰어주는 게 특징인 등심 소금구이와 흑돼지구이가 이곳의 대표 메뉴이며 등심과 공깃밥, 된장이 함께 제공되는 등심 정식 메뉴도 인기 있다. 나무와 한지로 장식한 내부 인테리어는 전통 가옥에 온 기분을 느끼게 해준다. TV 프로그램 <식신로드 1>에 ‘등심/떡심’이 소개된 식당으로 방송 출연 시 패널들에게 높은 점수를 받았다. 지하철 1호선 시청역 4번 출구에서 도보 3분 거리에 있으며, 차량 방문 시 식당 앞 공영유료주차장에 주차하면 된다.",02-777-1797,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0dcba4e1-3262-45a0-a7a1-3658dba0775b,중구
홍명,서울특별시 강남구 논현로131길 10,"대표 메뉴는 큼직하게 썬 양파를 춘장과 살짝 볶아 양파의 아삭한 식감을 살린 간짜장이다. 길고 큰 낙지가 들어가 있는 게 특징인 짬뽕과 걸쭉한 농도를 자랑하는 유산슬 밥도 인기 메뉴이다. 인근 직장인들의 점심 맛집으로 입소문 나서 오픈 시간부터 줄 서서 기다릴 정도로 인기 많은 식당으로, 학동역 뒤편 도보 1분 거리에 있어 접근성이 좋다.",02-548-2223,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=43b4c89b-398a-4419-a352-41836e3000eb,강남구
중앙청과,서울특별시 송파구 양재대로 932,"서울 송파구 가락동 농수산물 종합도매시장에 있는 중앙청과는 1989년 설립된 과일과 채소를 도매로 유통하는 법인이다. 과일류 경매는 주로 새벽 2시부터 오전 시간에 진행되고 채소류 경매는 저녁 6시부터 밤에 진행된다. 경매 위주로 물건을 유통하기에 일반 소비자들이 구매할 수 있는 물건은 일부 품목이지만 신선한 과일과 채소를 구입하기 위해 찾는 사람들이 있으며 특히 명절에는 선물용으로 과일을 구입하려는 사람들이 많이 찾는다. 지하철 8호선 가락시장역 3번 출구 좌측 200m 거리에 있다. 지하철 3호선, 8호선 가락시장역 1번 출구 우측 200m에 있다.",02-3435-3700,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3868fb52-7230-4671-ad04-503cc01f8233,송파구
서순라길,서울특별시 종로구 종로 150-3 (종로3가),"서순라길은 서울 종로구 종로 150-3에서 권농동 26까지를 잇는 도로로, 옛 조선의 치안을 담당하는 순라군이 다니던 길이다. 종묘를 순찰하던 순라청의 서쪽에 위치한다고 하여 ‘서순라길’로 부른다. 주위에 익선동, 인사동, 북촌, 삼청동 등 전통적인 인기 관광 지역 있고, 서순라길 내에는 식당, 카페, 공방 등 즐길 거리가 많다. 특히 봄에 꽃이 피고, 가을에 단풍이 들면 돌담의 풍경이 아름다워 데이트 코스, 가족 나들이로 많이 찾는다.",02-2148-1114,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f9fb9d06-6d9d-45bd-aea6-b39397c91105,종로구
121북촌[한국관광 품질인증/Korea Quality],서울특별시 종로구 계동길 121 121북촌,"121북촌은 서울 북촌 한옥마을 중심부에 자리한 외국인 게스트하우스로, 안국역 3번 출구에서 도보 7분 거리에 있어 대중교통 접근성이 좋다. 북촌 한옥마을 풍경이 한눈에 보여 최고의 전망을 자랑하고, 동남향으로 해 뜨는 모습도 볼 수 있다. 안주인의 미술작품과 조선시대 골동품을 비치하여 인테리어를 하였다. 아침에는 미국식 조식을 제공한다.",0507-1358-3701,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a93c7497-3094-4a0a-b11d-ba04acd7acad,종로구
윤동주시인의언덕,서울특별시 종로구 창의문로 119,"한국인이 가장 좋아하는 일제 강점기 저항 시인 윤동주(1917~1945) 시인을 기리는 이 언덕은 서울 종로구 청운동 인왕산 자락 청원공원 내에 자리해 있다. 시인 윤동주는 연희전문학교에 다니던 1941년 종로구 누상동에 있는 후배 소설가 김송의 집에서 하숙했었는데 그는 이때 청운동과 누상동 일대를 산책하며 시상을 가다듬으면서 <서시>, <별 헤는 밤>, <또 다른 고향> 같은 대표작을 썼다고 한다. 청운동에 윤동주 시인의 언덕이 들어선 이유이다. 저녁 무렵 하숙집 근처 이 언덕에서 해지는 서울 풍경을 바라보며 조국의 어두운 현실에 가슴 아파하면서 시상을 떠올렸을 것으로 생각된다. 서시의 시비를 비롯해 가수 이승환과 그의 팬들이 기증한 소나무 10그루, 시인의 주옥같은 시를 새겨 넣어 눈으로 감상할 수 있게 한 돌계단 등으로 모습을 갖추고 있다. 서시의 시비 앞에는 ‘서울 밤 경’ 표지판이 세워져 있는데 윤동주 시인의 언덕에서 야경 보기 좋은 곳임을 안내하고 있다. ‘윤동주 소나무’로 불리는 소나무가 위치 한 곳도 해넘이 구간으로 일몰을 감상하며 사색하기 좋은 곳으로 이름나 많은 사람들이 혼자서도 찾는 곳이다. 윤동주 시인의 언덕은 2012년 7월 용도 폐기된 청운 수도가압장을 리모델링해서 조성한 윤동주문학관과도 이어져 있으며, 맞은편에 창의문이 있다.",02-2148-4175,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e33cdab3-2358-470d-8feb-3f753a2a4d89,종로구
예술가의집,서울특별시 종로구 동숭길 3,"예술가의 창작을 지원하고 예술가와 예술가, 예술가와 시민과의 소통을 지원하는 매개형 열린 공간으로 다양한 문화 예술 공연과 전시가 열리고 있다. 예술가의 집은 일제강점기에 경성제국대학 본관으로 사용됐던 건물로 사적 278호로 지정되었으며, 설계는 우리 건축계의 선구자인 박길룡(1898~1943)이 하였다. 한국문화예술위원회의 청사로 사용되다가 2010년 12월 예술가의 집으로 바뀌었다.",02-760-4715,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2d3a98dc-ba65-4322-ad93-8ecf240100e0,종로구
더클라임,서울특별시 강남구 남부순환로 2615,"클라이밍을 처음 접하는 사람들도 쉽고 재미있고 안전하게 클라이밍 할 수 있는 곳이다.
전국 최대 볼더링 짐으로써 서울과 경기도에 걸쳐 10개의 지점을 동시에 이용할 수 있으며, 클라이밍을 전문적으로 연구한 석사 출신의 강사와 현 국가대표로 이루어진 전문 강사진으로부터 체계적인 강습을 받을 수 있다.",02-576-8821,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=799fd7dd-fd1f-478f-ac8b-0cfddc55bbcb,강남구
성촌공원,서울특별시 용산구 이촌동 173-1,"서울 용산구 이촌동 원효대교 북단 교차로와 맞닿은 곳 한강 그랜드오피스텔 앞에 있는 공원으로 자연과 함께 휴식할 수 있는 근린공원이다. 산책로, 지압장, 배드민턴장, 음수대 등이 설치되어 있어서, 산책과 운동하기 좋다. 2개의 정자와 벤치가 마련되어 있어 휴식을 취하기에도 좋으며, 5월과 9월 사이에는 바닥분수도 가동되어 찾는 이들에게 편안한 쉼터가 되고 있다.",02-2199-7599,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=df10ac00-6cb9-48b7-ae43-ee85908ff738,용산구
소문난식당,서울특별시 영등포구 도림로141가길 32-1,문래동 노포식당들 중 하나이다. 집밥만큼 맛있는 묵은지고등어조림이 있다. 고등어조림의 칼칼한 끝 맛이 일품이다. 메뉴는 묵은지고등어조림 하나이며 인원수만큼 주문이 가능하다.,02-2635-0570,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c64bb3fb-c9e1-484f-a3d8-7e195d039ea0,영등포구
용산공원 (옛 미군기지),서울특별시 용산구 서빙고로 221,"과거 한강과 인접했던 옛 미군 장교숙소 5단지 부지는 조선시대 얼음을 저장했던 ‘서빙고’가 있던 곳으로 해방 후 미군부대가 이곳을 차지했으며 일대를 ‘캠프 서빙고’라 불렀다고 한다. 정부는 일부 시설 리모델링을 거쳐 20년 이곳을 일반에 처음 공개했다. 현재는 용산공원으로 유치 중에 있으며 포토존으로 유명하다. 들내 봄내 잔디마당, 빨간 테두리의 동그란 표지만, 두루두루 파빌리온 등에서 찍으면 색감 예쁜 인생 사진을 찍을 수 있다.",070-4224-1708,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=db05463a-e520-4955-b814-16c2f44a1c8b,용산구
동작노을카페,서울특별시 동작구 동작대로 335,"서울 지하철 4호선 동작역 동작대교 남단에 있는 한강을 조망할 수 있는 전망 좋은 카페로, 한강 노을을 감상하기 좋은 곳으로 인기 있는 곳이다. 동작대교 양옆에 동일한 외관 모양으로, 지하철 1번 출구 방면에는 구름카페, 2번 출구 방면에는 노을카페가 있다. 이마트24와 문학동네가 함께 만든 동작노을카페는 입구에 들어서자마자 통유리 창을 통해 눈앞에 그림 같이 펼쳐진 한강을 볼 수 있다. 커피와 디저트, 와인/맥주/안주, 이마트24, 루프탑을 이용할 수 있으며, 별마루 한강라운지에서는 문학동네 출판사의 책을 볼 수도 있고 구매할 수도 있다.",1577-9621,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=867bcba7-06a8-42c9-be67-abd919bf66d5,동작구
피크닉,서울특별시 중구 퇴계로6가길 30,"서울 중구 회현동에 있는 지하 1층, 지상 3층 규모의 전시관 겸 카페 등을 이용할 수 있는 복합문화공간이다. 1층은 카페, 2층은 전시장, 3층은 프렌치 레스토랑, 4층은 루프탑이며 건물 외부에 소품숍이 있다. 제약회사가 사용하던 건물을 리모델링해서 만든 이곳은 과거와 현재를 연결해 놓은 예술적 감각 덕분에 핫플레이스 애호가들에게 인기다. 류이치 사카모토와 재스퍼 모리슨 등 유명 문화예술가들을 초청해 전시회를 열기도 했다. 카페는 정원을 바라볼 수 있는 긴 테이블 배치와 커다란 샹들리에와 스피커가 인상적이다.
지하철 4호선 회현역 3번 출구에서 160m 거리에 위치해 있다.",02-318-3233,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9f58e9cd-c62d-44ff-97aa-6b90e36b2809,중구
중앙해장,서울특별시 강남구 영동대로86길 17,"강남구 삼성역 근처에 위치한 해장국 전문점이다.
1980년부터 현재까지 전국의 유명 해장국집 및 고깃집에 납품해 온 중앙 축산에서 문을 연 식당이다. 푸짐한 양의 내장이 들어간 진한 국물 맛의 해장국이 인기 메뉴이다. 주말에는 웨이팅이 길다.",02-558-7905,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=57431c79-e04f-41bb-a6fa-c7a9857780f8,강남구
고양이정원,서울특별시 강서구 개화동로19길 18,"개화산 고양이 정원 카페는 개화산 자락 6,600여㎡(2천여 평)의 넓은 부지에 조성한 국내 최초 야외 고양이 정원으로 자연과 사람 그리고 고양이가 함께 공존하는 공간을 목표로 운영되고 있는 고양이 전용 야외 놀이공원 겸 카페이다. 이곳에 있는 1백여 마리 고양이들은 파양묘, 유기묘, 길고양이들로 한 공간에서 편하게 지낼 수 있도록 다양한 시설이 마련되어 있으며, 바깥 정원에는 인공폭포를 포함해 자연환경을 그대로 옮겨 놓은 듯한 조경시설로 나무와 암석들을 조화롭게 배치해 놓았다. 입장료에 모든 음료 값이 포함된다. 주말에는 2시간 이용 제한이 있다.",02-2665-4507,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dce8c35d-1a19-4bfe-bc6e-e34ade04a16d,강서구
평화문화진지,서울특별시 도봉구 마들로 932,공간재생사업을 통해 군사시설인 옛 대전차 방호시설을 2014년 7월 민간과 행정의 협력을 통해 문화창작공간으로 재탄생시킨 곳이다. 대전차방호시설의 흔적들을 보존한 채 작가들에게 시설 내 공간 및 장비를 지원한다. 이러한 창작지원사업과 지역문화의 활성화를 도모하는 문화예술프로그램 운영하며 공간의 역사를 통해 시민들과 함께 문화를 이어가고자 한다.,02-3494-1970,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=357bf8af-2db0-43db-8a34-8552a8082698,도봉구
한국청과,서울특별시 송파구 양재대로 932,"1979년 창립된 한국청과는 가락동 도매시장에 있는 청과물 유통 전문 도매 법인이다. 과일, 오이, 호박, 가지, 고추, 버섯, 상추, 깻잎 등을 도매 유통하고 있으며 각종 기부활동과 식자재 지원도 아끼지 않고 있다. 매장이 폐점하는 시간에는 신선한 과일과 야채를 소매로도 판매하여 저렴하게 구입할 수 있다. 지하철 이용 시 가락시장역 2번 출구를 이용하면 가깝고 주차장이 넓고 주차요금이 저렴해 차로 이동하는 것도 추천할만하다.",02-3435-1110,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=65af9296-4311-40f7-b87f-0f8b5c33f0f1,송파구
안녕브릭샌드 인사동점,서울특별시 종로구 인사동길 49 (관훈동),"브릭샌드는 좋은 재료에 디자인이 더해진 벽돌모양 디저트이다. 깔끔한 패키지 포장으로 소중한 지인들을 위한 근사한 디저트 선물로도 제격이며, 정직하고 좋은 재료로 매일 정성스럽게 만든다. 일반적인 카페나 디저트 가게는 제품을 판매하는데 많은 집중을 하지만 브릭샌드는 고객과 소통하며 디저트와 음료 그리고 브랜드의 가치를 공유하고, 보다 좋은 디저트 문화를 즐길 수 있는 서비스를 제공한다. 브릭샌드를 이를 ‘좋은 경험’이라고 부른다. 브릭샌드의 전 직원은 손님들이 매장에 들어오는 시점부터 머무르는 시간, 매장을 나가는 순간까지 손님들이 ‘좋은 경험’을 할 수 있도록 최선을 다한다.",0507-1333-4974,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5780aa4f-a281-4565-9832-6fd327dc7ab6,종로구
일원장미공원,서울특별시 강남구 광평로10길 28,서울 강남구 일원동 삼성서울병원 인근에서 대모산으로 올라가는 입구에 조성된 근린공원이다. 장미가 많아 장미꽃이 한창 피는 계절인 5월~6월에는 장미축제가 열린다. 주변 아파트 단지 주민들에게 인기 있을 뿐 아니라 대모산에 올라가기 전과 하산 후 모임 장소와 휴식을 담당하는 곳이기도 하다. 대모산 숲 체험 프로그램은 인기가 높아서 체험학습 마치고 놀이시간을 더 갖고 싶은 아이들과 대기하는 엄마들로 가득하다.,02-3423-6240,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6a1e941d-437f-448f-ba30-f41b0226c9a4,강남구
맛차차,서울특별시 성동구 서울숲2길 18-11,"서울숲 근처에 있는 찻집으로 계절에 어울리는 차를 코스로 즐길 수 있다. 시즌별로 변화하는 차와 다식으로 구성되는 맛차차의 시그니처 티 코스는 봄의 생명력과 여름의 시원함, 가을의 풍요로움과 겨울의 따스함을 담은 두 가지 차와 다식, 총 세 가지가 제공된다. 단순히 차만 제공하는 것이 아니라 이 차를 선택한 이유와 차의 특징 등 깊이 있는 설명이 더해져 더욱더 그윽한 맛과 향을 즐기게 한다. 길게 늘어선 티바 너머로는 통유리에 비친 서울숲을 감상할 수 있다. 잔잔한 음악과 차를 우려내는 물소리, 숲의 새소리를 함께 들으며 음미하는 차를 통해 진정한 휴식을 경험할 수 있다.",010-9719-8707,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ae365ca3-50a7-4a92-8124-92047d4cd4d7,성동구
풍년뼈다귀해장국,서울특별시 송파구 가락로 94,"서울 송파구 석촌동에 위치한 뼈다귀 해장국 전문 식당이다. 커다란 뚝배기에 잘 고은 돼지 등뼈와 잘 삶은 우거지가 푸짐하게 제공하는 24시간 운영 식당이다. 뼈해장국과 우거지탕 두 가지 메뉴를 판매하며, 돼지뼈 위에 올려진 우거지가 인기다. 식당 벽에는 손님들이 써 놓은 글씨가 가득하다. 8호선 송파역헬리오시티 가락초등학교 길 건너편에 있다.",02-415-0631,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=78723069-9df5-4e53-8f04-1ad4a1a0dc9e,송파구
한국미술관,서울특별시 종로구 인사동길 12,"한국 미술의 다양한 전시를 소화할 수 있는 첨단 시설을 갖춘 1,460㎡의 한국 최대 규모를 갖춘 대형 전시관이다. 최신 장비를 설비하여 작품 감상을 위한 최상의 환경을 구축하였으며 미술에 친근하게 다가갈 수 있는 부대시설도 조성되어 있다. 한국 미술의 중심지이자 대표 화랑가인 인사동의 중심에 위치하여 국내외 관광객은 물론 미술 애호가, 일반인들이 쉽게 방문할 수 있다.",02-720-1161,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d975bda1-1834-4d82-b7b3-3df8a5eb4516,종로구
제일평화시장,서울특별시 중구 마장로 13,"1979년 서울 중구 동대문에 개장하여 40년 넘게 영업 중인 여성 전문 도소매 패션몰이다. 지하 1층 지상 5층 규모의 건물에서 의류(아동복) 뿐 아니라 가방, 구두, 액세서리, 모피까지 원스톱 쇼핑이 가능하다. 영업시간을 확인하고 가야 헛걸음하지 않는다. 지하철 동대문역사문화공원역 2, 4, 5호선 1번 출구, 동대문역 1, 4호선 6번 출구를 통해 이용할 수 있다.",02-2252-6744,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8f753959-22a4-4b45-b624-5acc6f568760,중구
낙지한마당,"서울특별시 영등포구 국제금융로6길 30, 3층","힘이 불끈! 여의도 낙지 맛집 <낙지한마당>은 육질이 부드럽고 영양가도 풍부해 보양식으로 그만인 낙지요리를 즐길 수 있는 곳이다. 낙지가 통으로 나오는 산낙지초무침이 메인 메뉴. 가위로 싹둑싹둑 잘라 곁들여진 미나리와 함께 먹으면 기분 좋은 감칠맛이 입안에 퍼진다. 또 다른 인기 메뉴인 연포탕은 깔끔하고 시원한 국물이 매력적이며, 매콤한 산낙지볶음도 훌륭하다. 전라도식 손맛으로 음식을 직접 준비하여 맛깔나고 주꾸미, 갑오징어, 전복, 병어, 민어, 전어, 참꼬막 등 제철 식재료를 이용한 건강한 밥상을 즐길 수 있어 직장인 회식 및 단체모임 장소로도 추천한다.",02-780-7741,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3fa12614-a60e-4333-8b0f-0a8ecf165f37,영등포구
빠우,서울특별시 중구 을지로 157,"을지로에 자리한 도넛 전문점이다. 일명 ''힙지로''로 불리는 을지로만의 뉴트로 한 감성이 이곳 외관에서도 고스란히 느껴진다. 패키지에도 이런 감각적인 디자인이 더해져 도넛을 들고 인증 사진을 찍는 이들이 많다. 이곳의 시그니처 메뉴인 ''빠우 도나스''는 찹쌀반죽을 숙성, 발효시켜 주문과 동시에 튀겨낸다. 덕분에 도넛을 입에 넣는 순간 쫄깃하면서도 달콤함과 담백함이 동시에 입안에서 어우러진다. 찰 핫도그와 모짜렐라도 인기이며 당일 반죽만을 사용해 신선한 풍미도 느낄 수 있다. 포장도 가능하다.",0507-1374-9285,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=07931107-3332-4b31-9948-4ec9b4b70490,중구
인서울27 골프클럽,서울특별시 강서구 오정로 443-198,"서울 강서구 공항동과 오곡동, 부천시 고강동 일원 3천여 평 부지에 27홀 규모의 서울시 유일의 대중 골프장으로, 교통 편의성과 각종 편의시설을 함께 갖추고 있다. 이 지역은 공항 주변 대지가 조류 서식지로 변하자 조류충돌 사고의 위험이 발생하던 곳이다. 한국공항공사가 사업자를 선정해 골프장과 축구장, 테니스장 등 주민체육시설을 조성키로 하면서 2019년 마침내 골프장이 개장하게 된 것이다. 예약은 인터넷 홈페이지와 모바일 웹에서만 가능하다.",02-6395-8000,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e84aece0-0327-47d3-a5ce-1a7a7950cd6b,강서구
