장소명,정보
서순라길,서순라길 서 순라 길 서울 종로구 종로 권농 동 26 도로로 조선 치안 담당 순라군 길 종묘 순찰 순라 청 서쪽 위치 서 순라 길 부른다 주위 익선동 인사동 북촌 삼청동 전통 인기 관광 지역 서 순라 길 식당 카페 공방 거리 봄 꽃 피고 가을 단풍 돌담 풍경 데이트 코스 가족 나들이포토 길익선동 서 순라 길 차선 도로 돌담 길 분위기 건물 거리 옛날 느낌 느낌 이예 가보 길 추천 요즘 느낌 사람 북적 에너지 거리 활성 기분 서 순라 길 카페 커피 돌담 길 산책 한옥마을 북촌 익선동 인기 부모 북촌 골목골목 한옥 모델링 한 가게 젊은이들 특색 전통 가게 구경 여름 저녁 산책 편 느낌 사람 서 순라 길 특유 감성 넘서울특별시 종로구 종로 종로
121북촌[한국관광 품질인증/Korea Quality],121북촌[한국관광 품질인증/Korea Quality] 북촌 서울 북촌 한옥마을 중심부 자리 외국인 게스트하우스 안국역 출구 도보 분 거리 대중교통 접근성 북촌 한옥마을 풍경 한눈 최고 전망 자랑 동 남향 모습 안주인 미술 작품 조선 시대 골동품 비치 인테리어 아침 미국 식 조식 제공서울특별시 종로구 계동 길 북촌
윤동주시인의언덕,윤동주시인의언덕 한국인 일제 강점기 저항 시인 윤동주 시인 언덕 서울 종로구 청운동 인왕산 자락 청원 공원 자리 시인 윤동주 연희전문학교 종로구 누 상동 후배 소설가 김송 하숙 이때 청운동 누 상동 일대 산책 시상 서시 밤 고향 대표작 청운동 윤동주 시인 언덕 이유 저녁 무렵 하숙집 근처 언덕 해지 서울 풍경 조국 현실 가슴 시상 생각 서시 시비 가수 이승환 팬 기증 소나무 그루 시인 감상 돌계단 모습 서시 시비 서울 밤 경 표지판 윤동주 시인 언덕 야경 안내 윤동주 소나무 소나무 위치 해넘이 구간 일몰 감상 사색 이름 사람 혼자 윤동주 시인 언덕 2012년 7월 용도 폐기 청운 수도 가압장 모델링 해서 조성 윤동주 문학관 맞은편 창의문서울 밤 풍경 언덕서울특별시 종로구 창의문로
예술가의집,예술가의집 예술가 창작 지원 예술가 예술가 예술가 시민 소통 지원 매개 공간 문화 예술 공연 전시 예술가 일제 강점기 경성제국대학 본관 사용 건물 사적 호로 지정 설계 건축 선구자 박길룡 한국문화예술위원회 청사 사용 2010년 12월 예술가 집예술가 소통 지원 매개 공간서울특별시 종로구 동숭 길
더클라임,더클라임 클라이밍 처음 사람 안전 클라이밍 전국 최대 볼더링 짐 서울 경기도 지점 동시 이용 클라이밍 전문 연구 석사 출신 강사 국가대표 문 강 사진 체계 강습 수처음 사람 클라이밍 곳클라이밍 쇼서울특별시 강남구 남부순환로
성촌공원,성촌공원 서울 용산구 이촌동 원효대교 북단 교차로 한강 랜드 오피스텔 공원 자연 휴식 공원 이다 산책로 지압 배드민턴 음수 대 설치 산책 운동 정자 벤치 마련 휴식 5월 9월 사이 바닥 분수 가동 편안 쉼터자연 휴식 공원서울특별시 용산구 이촌동
소문난식당,소문난식당 문래동 노 포식 당 이다 밥 묵 은지 고등어 조림 고등어 조림 칼 칼 끝 맛 일품 메뉴 묵 은지 고등어 조림 인원수 주문새재 묵 조밥 묵 조밥 정식새재 묵 조밥 묵 조밥 정식 청포 묵 정식 외서울특별시 영등포구 도림로 141
용산공원 (옛 미군기지),용산공원 (옛 미군기지) 과거 한강 인접 미군 장교 숙소 단지 부지 조선 시대 얼음 저장 서빙고 해방 미군 부대 차지 일대 캠프 서빙고 라 정부 일부 시설 모델링 일반 처음 공개 현재 용산 공원 유치 포토 봄내 잔디 마당 테두리 표지 파 빌리 색감 인생 사진 수역사 도심 속 감성 휴양지데 화보 탄생 오픈 형 스튜디오 사진 분 방문 만족 용산 산책 장소 여름 처음 그늘 기절 직전 기억 가을 보니 외국 멍 시간 힐링 느낌 여름 절대 가지 마 용산 미군 기지 예전 개방 체험 장소 이국 느낌 사진 김밥 간식 나들이 코스 근처 맛집 인테리어 카페 아메리칸 감성 와우 용산 공원 2월 1월 간다 예전 미국 여행 추억 벽돌 미군 장교 숙소 배경 사진 찜 이국 분위기 미군 기지 공간 변신 미군 기지 도심 속 평화 관 오래전 일 미군 부대 모습 사계절 뉴스 개방 소식 인생 서울 근교 의미 의미 공간 용산 공원 여름날 잔디밭 아이들 추억 아이들 푸른 잔디밭 래 드라마 속 장소 이스 미드 느낌 서울 해외여행 해외 느낌 우 서울 기회 인생 미드 감성 용산 공원 기대 예전 인생 최고 장소서울특별시 용산구 서빙고로
동작노을카페,동작노을카페 서울 지하철 4호선 동작역 동작대교 남단 한강 조망 전망 카페 한강 노을 감상 인기 동작대교 양옆 외관 모양 지하철 출구 방면 구름 카페 출구 방면 노을 카페 이마트 24 문학동네 동작 노을 카페 입구 통유리 눈앞 그림 한강 커피 디저트 와인 맥주 안주 이마트 24 루프 탑 이용 마루 한강 라운지 문학동네 출판사 책 구매 수카페아이스 아메리카노아이스 아메리카노 카페 블루베리 아이 스티 외서울특별시 동작구 동작대로
피크닉,피크닉 서울 중구 회현동 지하 지상 규모 전시관 카페 이용 복합 문화 공간 이다 카페 전시장 프렌치 레스토랑 루프 탑 건물 외부 소품 숍 제약 회사 사용 건물 모델링 해서 과거 현재 연결 예술 감각 덕분 애호가 인기 이치 사카 모토 재스퍼 모리슨 유명 문화 예술가 초청 전시회 열기 카페 정원 테이블 배치 샹들리에 스피커 인상 지하철 4호선 회현역 출구 거리 위치회현동 복합 문화 공간 피크닉 가자곳 공간 거서울특별시 중구 퇴계로 가 길
중앙해장,중앙해장 강남구 삼성역 근처 위치 해장국 전문점 이다 현재 전국 유명 해장국 납품 중앙 축산 문 식당 양의 내장 진한 국물 맛 해장국 인기 메뉴 이다 주말국내 양질 재료 시원 칼 칼 해장국대기 가치 넘 맛나선지 해장국선지 해장국 장탕 양지 곰탕 우 족탕 외서울특별시 강남구 영동대로 86 길
고양이정원,고양이정원 개화산 고양이 정원 카페 개화산 자락 평 부지 조성 국내 최초 야외 고양이 정원 자연 사람 고양이 공존 공간 목표 운영 고양이 전용 야외 놀이공원 카페 이다 마리 고양이 파 양 묘 기묘 길고양이 들로 공간 시설 마련 바깥 정원 인공 폭포 포함 자연환경 조경 시설 나무 암석 조화 배치 입장료 음료 값 포함 주말 시간 이용 제한자연 고양이 사람 공존 묘 존중 곳음료서울특별시 강서구 개화동로 19 길
평화문화진지,평화문화진지 공간 재생 사업 군사 시설 전차 방호 시설 2014년 7월 민간 행정 협력 문화 창작 공간 재탄생 전차 방호 시설 흔적 보존 채 작가 시설 공간 장비 지원 창작 지원 사업 지역 문화 활성 도모 문화예술 프로그램 운영 공간 역사 시민 문화전차 방호 시설 조성 문화 창작 공간서울특별시 도봉구 마들로
한국청과,한국청과 창립 한국 청 가락동 도매 시장 청과물 유통 전문 도매 법인 과일 오이 호박 가지 고추 버섯 상추 깻잎 도매 유통 각종 기부 활동 식 자재 지원 매장 폐점 시간 과일 야채 소매 판매 구입 지하철 이용 가락시장역 출구 이용 주차장 주차 요금 차로 이동하 추천 만청과물 전문 도매 시장서울특별시 송파구 양재대로
안녕브릭샌드 인사동점,안녕브릭샌드 인사동점 브릭 새 재료 디자인 벽돌 모양 디저트 이다 패키지 포장 지인 디저트 선물 제격 정직 재료 정성 일반 카페나 디저트 가게 제품 판매 집중 브릭 새 고객 소통 디저트 음료 브랜드 가치 공유 디저트 문화 서비스 제공 브릭 드 경험 부른다 브릭 드 직원 손님 매장 시점 시간 매장 순간 손님 경험 을 최선곁 간식 벽돌 모양 디저트브릭 드 각종 커피 음료 외서울특별시 종로구 인사동 길 관훈동
일원장미공원,일원장미공원 서울 강남구 일원동 삼성서울병원 인근 대모산 입구 조성 공원 이다 장미 장미꽃 계절 5월 6월 장미 축제 주변 아파트 주민 인기 대모산 전과 하산 모임 장소 휴식 담당 대모산 숲 체험 프로그램 인기 체험학습 놀이 시간 아이들 대기 엄마5월 6월 장미 축제 공원서울특별시 강남구 광평로 10 길
맛차차,맛차차 서울숲 근처 찻집 계절 코스 시즌 변화 다식 구성 맛 차차 그니 티 코스 봄 생명력 여름 가을 풍요 겨울 따스함 가지 다식 가지 제공 차만 제공 선택 이유 특징 설명 맛 향 티 바 너머 통유리 서울숲 감상 음악 우려 물소리 숲 새소리 음미 휴식 경험 수사시사철 철 티타임티 코스품 차서울특별시 성동구 서울숲 길
풍년뼈다귀해장국,풍년뼈다귀해장국 서울 송파구 석촌동 위치 뼈다귀 해장국 전문 식당 뚝배기 고은 돼지 등뼈 삶 우거지 제공 시간 운영 식당 뼈 해장국 우거지 가지 메뉴 판매 돼지 뼈 우거지 인기 식당 벽 손님 글씨 8호선 송파역 헬리 시티 가락초등학교 길 건너편고은 돼지 등뼈 삶 우거지송파구 주민 맛집 방문 그릇 만원 공기 밥 별도 천원 천원 반찬 박 지 포장 은근 벽지 연예 사인 국물 자극 중독 맛 고기 겨자 소스 양파 성비 만해뼈 해장국 우거지 탕국밥서울특별시 송파구 가락
한국미술관,한국미술관 한국 미술 전시 소화 첨단 시설 한국 최대 규모 대형 전시관 최신 장비 설비 작품 감상 최상 환경 구축 미술 부대시설 조성 한국 미술 중심지 대표 화랑가 인사동 중심 위치 국내외 관광객 미술 애호가 일반인 방문 수한국 미술 전시 문화 공간서울특별시 종로구 인사동 길
제일평화시장,제일평화시장 서울 중구 동대문 개장 영업 여성 전문 도소매 패션 몰이 지하 지상 규모 건물 의류 아동복 가방 구두 액세서리 모피 스톱 쇼핑 영업시간 확인 가야 걸음 지하철 동대문역사문화공원역 5호선 출구 동대문역 4호선 출구 이용 수동대문 소매 전문 패션평 동대문 가면 이예 엄마 옷 옷 옷 옷 구경 사기 동대문 가면 생각서울특별시 중구 마장로
낙지한마당,낙지한마당 힘 여의도 낙지 맛집 낙지 한 마당 육질 영양가 보양 식 만인 낙지 요리 낙지 산낙지 초무침 메인 메뉴 가위 미나리 기분 감칠맛 입안 인기 메뉴 연포탕 국물 매력 매콤 한 산낙지 볶음 전라도 식 손맛 음식 준비 맛깔 주꾸미 갑오징어 전복 병어 민어 전어 참 꼬막 제철 식 재료 이용한 건강 밥상 직장인 회식 단체 모임 장소 추천매콤 맛낙지 한 마당 낙지 매콤 곳산낙지 초무침 연포탕산낙지 초무침 연포탕 산낙지 볶음 등서울특별시 영등포구 국제금융로 길
빠우,빠우 을지로 자리 도넛 전문점 이다 일명 을지로 뉴트 감성 외관 패키지 감각 디자인 도넛 인증 사진 그니 메뉴 빠 우 나스 찹쌀 반죽 숙성 발효 주문 동시 덕분 도넛 순간 동시 입안 핫도그 짜 레 라도 인기 당일 반죽 사용 풍미 포장모두 도넛빠 우도 나스빠 우도 나스 핫도그 짜 레 등서울특별시 중구 을지로
인서울27 골프클럽,인서울27 골프클럽 서울 강서구 공항동 곡동 부천시 고강동 일원 평 부지 홀 규모 서울시 유일 대중 골프장 교통 편의 각종 편의 시설 지역 공항 주변 대지 조류 서식지 조류 충돌 사고 위험 발생 한국공항공사 사업자 선정 골프장 축구장 테니스 주민 체육 시설 조성 골프장 개장 예약 인터넷 홈페이지 모바일 웹개 홀 선사 즐거움서울특별시 강서구 오정로
봉화산옹기테마공원,봉화산옹기테마공원 옹기 테마 공원 봉화산 일대 화약고 신내동 일대 옹기 존재 착안 화약고 이전 옹기 복원 음식 저장 용기 옹기 역사 옹기 체험 테마 공원 이다 공원 면적 한지 체험 옹기 체험 공예 체험 중앙 광장 옹기 정원 전통 옹기 가마 전망대 북카페 옹기 체험 전문 강사 옹기 역사 특징 컵 항아리 월 체험 프로그램 한지 체험 한지 활용 공예 작품 전통 체험 공원 정상 전망대 공원 밭 전경 감상 체험 전화 예약 불가 온라인 예약 중랑 문화 재단 홈페이지 일 오전 다음 달 체험 프로그램 예약 지하철 6호선 출구 거리 자리목 공예 옹기 체험 공원서울특별시 중랑구 신내로 21 길 신내동
푸르지오아트홀,푸르지오아트홀 아트 홀 최적 음향 조건 경험 설계 클래식 연주회 공연장 이다 사용 마감 소재 오목 렌즈 형태 천장 디자인 음향 확산 구조 적용 음향 설계 공간 품질 음향 비교 규모 공간 실내악 독주회 독창회 정통 국악 크로스오버 대중음악 장르 공연 최적 음향 환경 제공 아트 홀 실내악 독주회 독창회 클래식 공연 대중음악 재즈 국악 공연 음성 강연 세미나 음성 스피치 위주 프로그램 공간 아트 홀 지하철 을지로4가역 출구 앞공간 품질 음향 음악 공연장서울특별시 중구 을지로
국립극장 공연예술박물관,국립극장 공연예술박물관 남산 자락 위치 국립극장 공연예술박물관 12월 23일 개관 한국 최초 공연 예술 전문 박물관 이다 국립극장 설립 현재 연극 무용 창극 오페라 판소리 장르 공연 예술 자료 전시 자료실 일반 공개 공연예술박물관 자리 상설 전시실 우리나라 공연 예술 역사 흐름 공연 예술사 시공간 공연 무대 과정 특징 전시 공연 주제 시공간 구성 실감 극장 기존 오름 극장 박물관 로비 공간 일부 개조 조성 최신 기술 공연 예술 접목 형태 실감 콘텐츠 경험 체험 증강현실 기술 빙 포스터 무대 분장 의상 체험 공간 지하철 3호선 동대입구역 출구 거리 위치 국립극장 뒷편 자리 공연 관람 전후 방문 것남 산자락 위치 한국 최초 공연 예술 전문 박물관서울특별시 중구 장충단로 장충동
중림창고,중림창고 림 창고 서울역 근처 도심 한가운데 언덕 동네 경사 대지 자리 11월 개관 복합 문화 공간 이다 불법 창고 서울시 서울로 주변 도시 재생 사업 을 앵커 시설 하나로 뉴 서울로 을 연결 만리동 후암동 남산공원 남대문시장 서울 도심 산책 길 림 창고 시작 림 창고 동이 연결 골목 책방 여기 서울 쪽 심야 살롱 시공간 중림동 수선 문 수선 예전 자리 수선 해 오신 할머니 작업실 동네 사람 편안 마을 사랑방 우리나라 최초 복도 식 주상 복합 아파트 성요셉 아파트 지하철 5호선 충정로역 출구 거리어물전 창고 도시 재생 거점 시설 복합 문화 공간서울특별시 중구 서소문로 길 중림동
대학로자유극장,대학로자유극장 대학로 자유 극장 난타 기획사 덕 션 2005년 3월 국내 창작 뮤지컬 발전 목적 대학로 개관 극장 개관 기념 작 난타 시작 뮤지컬 달고나 뮤직 마이 하트 살인 사건 국내 창작 뮤지컬 중심 공연 관객 감동 문화 공간 자리 지금 자유 극장 장르 시도 완성 뮤지컬 공연 관객 지하 극장 관객 무대 공연 혜화역 출구 거리 대학로 중앙 위치 주변 볼거리 거리서울특별시 종로구 대학로 12 길 동숭동
틴틴홀,틴틴홀 대학로 위치 티 티 홀 옥탑방 고양이 공연 연극 공연장 이다 지하 극장 무대 관객 연기자 호흡 공연 공연 시간 월 티켓 요금 이벤트 할인 요금 온라인 티켓 예 매 네이버 인터파크 티켓 확인 이용 지하철 4호선 혜화역 출구 거리 위치 대학로 중심 자리 주변 마로니에 공원 대학로 분위기 수년 연극 옥탑방 고양이서울특별시 종로구 대학로 10 길 동숭동
갤러리도스,갤러리도스 갤러리 삼청동 위치 미술관 카페 지하 지상 전시장 갤러리 작가 대중 호흡 기획 예술 향유 공간 지향 매체 영역 장르 구애 작가 조형 세계 공간 역량 작가 소개 자리매김 정기 공모 기획전 진행 신진 작가 발굴 청와대 옆 위치 인근 정독도서관 맛집 카페 전시 관람 전후 방문 것신진 작가 발굴 미술관서울특별시 종로구 삼청로 길 판 동
한생연융합교육과학관,한생연융합교육과학관 한생 연 융합 교육 과학관 아동 청소년 과학 교육 연구 과학 문화 확산 전문 과학 교육 기관 10월 18일 창립 전문 시작 청소년 전문 과학 교육 시작 종로 시작 목동 반포 강남 잠실 분당 홍 천 과학관 운영 주제 과학관 이다 유아 초고 프로그램 방학 프로그램 연령 프로그램 준비 테마 과학관 종로 센터 한생 연 융합 교육 과학관 반포 센터 한생 연 휴먼 탐구 과학관 강남 센터 한생 연 실험 누리 과학관 잠실 센터 한생 연 인간 로봇 과학관 목동 센터 한생 연 생명 과학박물관 분당 센터 한생 연 마이크로 과학관 홍 천 센터 한생 연 자 연속 과학 체험아동 청소년 전문 과학 교육 기관서울특별시 종로구 성균관로 15 길 륜
아트원씨어터,아트원씨어터 아트 씨어터 지하 지상 건물 동 공연장 관 대학로 뮤지컬 연극 공연장 이다 관 지하 관 관 매표소 로비 로비 화장실 공연 시작 극장 규모 무대와 객석 사이 배우 연기 생동감 대학 로만 소극 장의 장점 혜화동 출구 마로니에공원 쪽 위치 대학로 중심부배우 관객 호흡 대학로 공연장서울특별시 종로구 대학로 12 길 동숭동
상명아트센터,상명아트센터 개관 상명 아트 센터 상명대학교 서울 캠퍼스 위치 공연장 당 홀 대신 홀로 상명 아트 센터 당 홀 오페라 뮤지컬 무용 연극 오케스트라 교육 행사 종합 구성물 무대 객석 극장 이다 대형 무대 객석 뒷좌석 무대 거리 미터 무대 공연 자 호흡 생동감 친밀도 최적 공간 상명 아트 센터 대신 홀 리사이틀 공연 세미나 무대 객석 극장 이다학교 교육 문화예술 활동 사회 공헌 상명대학교 아트 센타서울특별시 종로구 홍 지동
불교중앙박물관,불교중앙박물관 불교중앙박물관 대한불교조계종 설립 3월 17일 개관 불교 전문 박물관 이다 불교 문화 역사 전국 사찰 수장 불교 문화재 보존 전시 지하 상설 전시관 장고 보존 처리 학예 연구실 시청각 상설 전시실 전시실 석가모니 불 비로자나불 조각 탱화 탑 전시 전시실 부처 보살 전시실 인간 모습 세상 부처 형상화 한 작품 장고도 장고 온도 습도 석조 와류 장고 금속 목재 불상 공예품 장고 회화 전적 지 본류 불교문화 강좌 진행 수도권 유일한 상설 불교 전문 박물관 종로구 견지동 조계사 경내조계사 경내 불교 전문 박물관서울특별시 종로구 견지동
한국색동박물관,한국색동박물관 창덕궁 종로3가역 사이 위치 한국 색동 박물관 색동 연구 김옥현 간의 색동 연구 동안 유물 수집 바탕 3월 5일 개관 한국 색동 박물관 전통 한옥 양식 현대 공간 설계 한국 음양오행 상생 소멸 철학 색동 의미 한국 색동 박물관 박물관 혼례복 돌복 색동 관련 유물 소장 박물관 주체 색동 유물 전시 기획 연구 교육 지하 위치 전시실 색동 유물 관련 전시 지상 전시실 색동 패션 디자인 현대 색동 디자인 제품 전시 옆 자리 지상 전시실 색동 자료실 사무실 전시실 장신구 한복 체험 공간 마련 박물관 이하 규모 그룹 교육 프로그램 운영한국 전통 고유 문양 색채서울특별시 종로구 권농 동
무계원,무계원 계원 종로구 부암동 개원 도심 속 전통문화 공간 풍광 속 한옥 체험 전통 문화 한국 계원 건물 과거 종로구 익선동 서울시 등록 음식점 오진 암 건물 자재 사용 계원 대문 기와 서까래 기둥 계원 위치 계정 사지 안평대군 꿈 도원 화가 안견 일 몽유도원도 정자 활 유서 장소 계원 안채 사랑채 행랑채 세미나 강연 회의실 사용 별채 안채 마루 안마당 뒷마당 부대시설 전통문화 행사 진행 부암동 조선 시대 분위기 도심 느낌 산책 하 곳부암동 도심 속 전통문화 공간 한국서울특별시 종로구 부암동
서울생활문화센터 체부,서울생활문화센터 체부 건축 체부 동성 결 교회 모델링 한 서울 생활 문화 센터 체부 시대 변화 프랑스 식 영국 식 가지 벽돌 방식 건축 양식 가치 서울 미래 유산 우수 건축 자산 선정 서울 생활 문화 센터 체부 서울시 조성 생활 음악 동아리 공간 지역 주민 문화 공간 생활 문화동 아리 연습 발표 공간 제공 서울 시민 생활 문화 가치 지역 주민 모임 공간 체부 본관 체부 홀 한옥 금 공간 체부 홀 생활 예술 오케스트라 생활 예술 동아리 연습 공간 금 세미나실 사랑 카페 마실 지역 주민 편안 공간 사용 수도권 지하철 3호선 경복궁역 출구 거리 위치 인근 서울메트로 미술관 국립고궁박물관 세종 마을 음식 문화 거리 등서울시 조성 생활 문화 동호회 활동 공간서울특별시 종로구 체 부동
JTN아트홀,JTN아트홀 대학로 제이 티엔 아트 홀 공연장 멀티플렉스 연극 뮤지컬 콘서트 공연 문화예술 공간 이다 지하 지상 공연장 배우 연습실 관객 대기실 라운지 편의 시설 마련 개관 관 이상 규모 대학로 대표 중형 규모 극장 관 관객 전용 대기실 설치 관람 대기 혜화역 동대문 역사 공원 사이 접근 이화동 벽화 마을 낙산 공원 관광 명소개 공연장 멀티플렉스 대학로 공연장소녀 공연 아트 홀 연극 소녀 공연 보기 위해 아트 홀 티켓 벤치 의자 공연장 생각 티켓 가격 공연 부담 선 건 행운 공연장 관객 대기실 복도 짐 사물함 짐 분 관람 해당 공연장 관객 무대 편 라 1 이상 무대 정면 예약 것서울특별시 종로구 이화동
바탕골소극장,바탕골소극장 대학로 서울 종로 사거리 혜화동 로터리 거리 뒷편 골목 포함 말 마로니에 공원 주변 문화예술 관련 공연장 기관 발달 대표 문화예술 거리 80년대 소극 장이 주제 연극 공연 규모 콘서트 바탕골소극장 대학로 연극 시대 초석 극장 명실상부 대학로 대표 극장 자리매김 대학로 명성 예전 쇠퇴 2000년대 위기 시민 종로구청 결과 지금 공연장 유지 바탕골소극장 아동 성인극 공연 규모 극장 낮 아동극 밤 성인극 공연 한번 바탕 춤 기획 공연 커피숍 연극인 무용가 작가 모임 장소 이용 건물 미술관 지하철 4호선 혜화역 3분 거리 마로니에 공원 옆 위치 대학로 볼거리 거리 먹거리대학로 연극 초석 대학로 대표 극장 바탕골서울특별시 종로구 동숭동
